Date,Retorno mes
2013-04,4.04
2013-05,-2.78
2013-06,-27.64
2013-07,11.15
2013-08,23.09
2013-09,-1.4
2013-10,47.04
2013-11,183.74
2013-12,-19.2
2014-01,13.76
2014-02,-34.11
2014-03,-17.83
2014-04,4.06
2014-05,34.65
2014-06,4.46
2014-07,-8.53
2014-08,-19.63
2014-09,-18.98
2014-10,-12.08
2014-11,12.75
2014-12,-15.21
2015-01,-26.41
2015-02,17.86
2015-03,-1.53
2015-04,-1.87
2015-05,-1.9
2015-06,14.41
2015-07,8.95
2015-08,-25.46
2015-09,1.63
2015-10,29.65
2015-11,20.77
2015-12,15.75
2016-01,-12.45
2016-02,15.74
2016-03,-5.1
2016-04,6.13
2016-05,18.18
2016-06,25.03
2016-07,-6.8
2016-08,-7.81
2016-09,6.41
2016-10,13.8
2016-11,5.93
2016-12,25.98
2017-01,4.96
2017-02,18.67
2017-03,-7.2
2017-04,22.87
2017-05,55.24
2017-06,9.58
2017-07,17.71
2017-08,53.37
2017-09,-2.09
2017-10,41.96
2017-11,50.31
2017-12,42.09
2018-01,-26.24
2018-02,8.79
2018-03,-38.76
2018-04,29.04
2018-05,-19.06
2018-06,-13.63
2018-07,21.21
2018-08,-8.79
2018-09,-4.54
2018-10,-3.94
2018-11,-42.0
2018-12,-4.14
2019-01,-6.05
2019-02,12.3
2019-03,6.7
2019-04,28.54
2019-05,50.74
2019-06,27.97
2019-07,-2.62
2019-08,-2.9
2019-09,-13.47
2019-10,12.55
2019-11,-18.3
2019-12,-4.33
2020-01,27.74
2020-02,-7.34
2020-03,-16.51
2020-04,31.55
2020-05,10.38
2020-06,-2.55
2020-07,22.27
2020-08,4.34
2020-09,-6.66
2020-10,24.86
2020-11,37.59
2020-12,41.0
2021-01,15.67
2021-02,34.94
2021-03,29.19
2021-04,-0.5
2021-05,-38.13
2021-06,-2.46
2021-07,-1.79
