Date,Retorno mes
2015-08,12.63
2015-09,-54.54
2015-10,38.48
2015-11,-0.29
2015-12,8.43
2016-01,101.35
2016-02,116.44
2016-03,66.1
2016-04,-21.4
2016-05,49.55
2016-06,1.31
2016-07,1.26
2016-08,2.03
2016-09,13.09
2016-10,-18.24
2016-11,-24.6
2016-12,-1.66
2017-01,31.9
2017-02,39.7
2017-03,131.78
2017-04,51.22
2017-05,121.11
2017-06,32.58
2017-07,-28.32
2017-08,65.56
2017-09,-15.49
2017-10,2.01
2017-11,40.87
2017-12,59.82
2018-01,45.47
2018-02,-20.37
2018-03,-74.4
2018-04,56.51
2018-05,-12.3
2018-06,-20.36
2018-07,-3.29
2018-08,-41.18
2018-09,-15.18
2018-10,-13.6
2018-11,-51.1
2018-12,22.59
2019-01,-19.25
2019-02,28.94
2019-03,3.51
2019-04,16.28
2019-05,55.22
2019-06,11.36
2019-07,-24.02
2019-08,-21.87
2019-09,7.41
2019-10,3.7
2019-11,-16.76
2019-12,-14.98
2020-01,35.51
2020-02,23.46
2020-03,-31.45
2020-04,47.97
2020-05,13.29
2020-06,-0.43
2020-07,43.84
2020-08,25.07
2020-09,-14.4
2020-10,8.12
2020-11,48.65
2020-12,20.85
2021-01,65.73
2021-02,11.17
2021-03,33.54
2021-04,40.05
2021-05,15.28
2021-06,-12.2
2021-07,3.06
